CardNo;Count;Priority;English;French;Spanish
1;3;0;The last one to put his thumb<P> On his nose must drink!;Le dernier Ö poser son pouce<P> Sur son nez boit!;El £ltimo en poner el dedo<P> En la nariz sus bebidas!
2;3;0;The last one to touch<P> Someone else's ear<P> Must drink!;Le dernier Ö toucher l'oreille<P> De quelqu'un d'autre boit!;El £ltimo en tocar el o°do<P> De alguien bebe m†s!
3;2;1;The last one to spin around<P> Must drink!;Le dernier Ö tourner<P> Autour de lui-màme boit!;La £ltima en dar<P> La vuelta borracho!
4;3;0;The last one to do<P> The 'L' sign must drink!;Le dernier Ö faire<P> Le signe 'L' boit!;El £ltimo en firmar<P> La 'L' de las bebidas!
5;3;0;The last one to say his name<P> By saying 'My name is'<P> Must drink!;Le dernier Ö prononcer son nom<P> En disant 'Mon nom est'<P> Doit boire!;El £ltimo en dar su nombre<C><P> Diciendo: 'Mi nombre es'<P> Tiene que beber!
6;3;1;The last one to take a shot<P> Must take another shot!;Le dernier Ö boire<P> Boit de nouveau!;La £ltima copa para<P> Beber de nuevo!
7;3;0;Say 'Are you drunk yet?'<P> If anybody says yes<C> he must take a shot!<P> Else<C> don't worry!;Dites '“tes-vous saoñl?'<P> Si quelqu'un rÇpond oui<C><P> Il doit boire Ö nouveau!<P> Sinon<C> tant pis!;Diga '®Est†s borracho?'<P> Si alguien contesta que s°<C><P> Que debe beber de nuevo!<P> De lo contrario<C> mala suerte!
8;2;0;Anybody who has played<P> An MMO game must drink a shot!;N'importe qui<P> Ayant jouÇ Ö un jeu MMO<P> Doit boire un coup!;Cualquiera que<P> Haya jugado un juego MMO<P> Necesita un trago!
9;2;0;Anybody who has played<P> A Facebook game must drink a shot!;N'importe qui<P> Ayant jouÇ Ö un jeu Facebook<P> Doit boire un coup!;Cualquiera que<P> Haya jugado un juego de Facebook<P> Debe tener una bebida!
10;2;0;Anybody who has played<P> A board game must drink a shot!;N'importe qui<P> Ayant jouÇ Ö un jeu de plateau<P> Doit boire un coup!;Cualquiera que<P> Haya jugado un juego de mesa<P> Necesita un trago!
11;3;0;Anybody who played with dolls<P> Must drink a shot!<P> If there's only boys around the table...<P> Cheers! Everyone take a shot for the girls!;N'importe qui<P> Ayant dÇjÖ jouÇ aux poupÇes<P> Doit boire un coup!<P> S'il n'y a que des gars...<P> SantÇ! Tout le monde boit pour les filles!;Cualquiera que<P> Haya jugado mu§ecas debe tener una bebida!<P> Si no hay ese tipo ...<P> Salud! Todos beben para las ni§as!
12;3;1;Anybody who has missing teeth<P> Must take a shot equals<P> To the number of teeth missing!<P> But if you have dentures<C> you're lucky<C><P> Take only 1 shot!;Si quelqu'un a des dents manquantes<C><P> Il doit boire un coup<P> Pour le nombre de dents manquantes!<P> Mais si vous avez un dentier<C><P> Vous àtes chanceux<C><P> Buvez 1 coup!;Si alguien tiene los dientes que falta<C><P> debe tener una bebida<P> para el n£mero de dientes perdidos!<P> Pero si usted tiene dentadura postiza<C><P> Tienes suerte<C><P> Beber un tiro!
13;3;0;The last one to jump must drink!;Le dernier Ö sauter doit boire un coup!;El £ltimo salto es una bebida!
14;3;0;Touch someone else's shoulder!<P> The last one who does this must drink!;Touchez l'Çpaule de quelqu'un!<P> Le dernier Ö le faire doit boire un coup!;Toque en el hombro de alguien!<P> El £ltimo paso es tomar una copa!
15;3;0;The last one to put his elbow<P> On a table must take one shot!;Le dernier Ö mettre son coude<P> Sur la table doit boire!;El £ltimo en poner el codo<P> Sobre la mesa para beber!
16;3;1;Draw a circle! If it's round<C><P> You can give 2 shots<C> else<C><P> Drink them!;Dessine un cercle! S'il est rond<C><P> Tu peux donner 2 gorgÇes<C> sinon<C><P>Bois-les!;Dibuja un c°rculo! Si es redonda<C><P> puede dar dos sorbos<C><P> De lo contrario la madera!
17;3;1;Draw a line! If it's straight<C><P> You can give 2 shots<C> else<C><P> Drink them!;Dessine un trait! S'il est droit<C><P> Tu peux donner 2 gorgÇes<C> sinon<C><P> Bois-les!;Dibuja una l°nea! Si es correcto<C><P> puede dar dos sorbos<C><P> De lo contrario la madera!
